cluster_id,count,centroid_lat,centroid_lon,first_date,last_date,persistence_days,max_frp,avg_frp,max_priority,max_fusion,dominant_label,industrial_context,nearest_facility_name,nearest_facility_type,dist_to_industrial_km
C44,4,10.610945000000001,77.4233125,2026-08-27,2026-08-28,2,0.58,0.4,0.21,0.24,insufficient_evidence,No nearby industrial zone,"SIPCOT Mamandur, Cheyyar",Industrial area,337.58
C126,2,31.770195,70.10818,2026-08-28,2026-08-28,1,2.36,1.4,0.32,0.02,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,694.02
C70,3,20.910796666666666,71.45964666666667,2026-08-25,2026-08-28,4,2.89,1.57,0.5,0.9,persistent_industrial_source,Within known industrial zone,Unnamed industrial facility,Industrial area,0.26
C127,2,31.657964999999997,78.40446,2026-08-29,2026-08-29,1,5.95,4.99,0.34,0.01,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,305.34
C128,2,8.606795,77.96981,2026-08-29,2026-08-29,1,3.44,3.07,0.26,0.01,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Thermal power plant,489.57
C129,2,8.6502,77.83815,2026-08-29,2026-08-29,1,2.82,2.37,0.26,0.0,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Thermal power plant,491.62
C130,2,9.383165,80.45058,2026-08-29,2026-08-29,1,5.38,5.1,0.33,0.01,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,348.4
C131,2,9.41475,80.447285,2026-08-29,2026-08-29,1,3.19,3.19,0.25,0.01,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,345.17
C132,2,15.467225,80.16393,2026-08-29,2026-08-29,1,5.8,5.8,0.33,0.0,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,169.08
C71,3,20.965766666666667,86.01139666666666,2026-08-26,2026-08-28,3,4.14,3.53,0.28,0.37,industrial_fire,Within known industrial zone,TATA Steel,Industrial area,0.91
C11,9,20.966776666666668,85.17998444444444,2026-08-26,2026-08-27,2,17.78,7.73,0.51,0.19,industrial_fire,Adjacent to industrial zone,Unnamed industrial facility,Industrial area,3.25
C133,2,8.54169,80.78215499999999,2026-08-27,2026-08-28,2,5.66,3.96,0.33,0.03,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,446.85
C134,2,22.020069999999997,85.4948,2026-08-28,2026-08-28,1,24.28,23.4,0.4,0.03,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,6.66
C135,2,30.89269,73.191385,2026-08-25,2026-08-25,1,14.19,12.9,0.39,0.01,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,390.64
C136,2,31.029055,73.36923,2026-08-25,2026-08-25,1,9.86,7.29,0.43,0.0,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,386.68
C137,2,26.760505000000002,83.198765,2026-08-25,2026-08-26,2,1.23,1.08,0.22,0.21,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,346.33
C138,2,17.608085,83.201,2026-08-25,2026-08-25,1,1.83,1.83,0.17,0.41,industrial_fire,Within known industrial zone,Unnamed industrial facility,Thermal power plant,0.36
